QUARTER;INSTAGRAM;FACEBOOK
Q1 '10;0.0;431.0
Q2 '10;0.0;482.0
Q3 '10;0.0;550.0
Q4 '10;1.0;608.0
Q1 '11;2.0;680.0
Q2 '11;3.0;739.0
Q3 '11;6.0;800.0
Q4 '11;10.0;845.0
Q1 '12;16.0;901.0
Q2 '12;20.0;955.0
Q3 '12;30.0;1007.0
Q4 '12;50.0;1056.0
Q1 '13;100.0;1110.0
Q2 '13;115.0;1155.0
Q3 '13;125.0;1189.0
Q4 '13;150.0;1228.0
Q1 '14;175.0;1276.0
Q2 '14;200.0;1317.0
Q3 '14;284.0;1350.0
Q4 '14;300.0;1393.0
Q1 '15;310.0;1441.0
Q2 '15;325.0;1490.0
Q3 '15;355.0;1545.0
Q4 '15;400.0;1591.0
Q1 '16;425.0;1654.0
Q2 '16;460.0;1712.0
Q3 '16;500.0;1788.0
Q4 '16;600.0;1860.0
Q1 '17;650.0;1936.0
Q2 '17;700.0;2006.0
Q3 '17;725.0;2072.0
Q4 '17;750.0;2129.0
Q1 '18;800.0;2196.0
Q2 '18;850.0;2234.0
Q3 '18;1000.0;2271.0
